path,kind,bytes,sha256,rows,columns,parse_error,decision,reason,duplicate_content
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_banglasarc3_binary.csv,csv,470734,48ad9e66fdc42e47220c9478d50731e469331cafb3826250e670513cd53fcef7,791,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_banglasarc_binary.csv,csv,269751,2e653818f71d57c147b7ad106d569f3362140c96c649ad5a069b694497e8d517,436,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_ben_sarc_binary.csv,csv,1536927,5f0b456a9ef2e8f6c23503fd4f23b9668bf22031fb1fa6a1124a78d17592866c,2563,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_banglasarc3_binary.csv,csv,468389,291e2dd1a00aba49dbee868d604ffc8655976ead9ea572e3c6eea592e0ac76a3,791,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_banglasarc_binary.csv,csv,268344,8efb18afc46b40f5b5fc36eb50b77678bbe87d8bb751fb7edd8b29f347d0257e,436,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_ben_sarc_binary.csv,csv,1529358,2630957e534c3ac51d696ad449b62296dad7c778342e4073c169891f27ad60fc,2563,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_banglasarc3_binary.csv,csv,470308,37dbcb709dae8cfe57d64212e8a936bc8c0c409c0591bbc5f36cc938407443a4,791,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_banglasarc_binary.csv,csv,269482,e119e9a9fabd872f76c6c764f7e0fea548bc0579c4601c29a3e108ebdf0d5f73,436,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_ben_sarc_binary.csv,csv,1535578,2dc6218465f8a2fb4e830acf95dd195c6214446d91a5b1083b4e2f1e697d352f,2563,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed42_to_banglasarc3_binary.csv,csv,469430,cbed657c3423e981ab98c1f0c02e74568edb180dc3749252157651b25e4f5c82,791,"[""item_id"", ""text"", ""norm_key"", ""gold_label"", ""pred_label"", ""correct"", ""logit_0"", ""logit_1"", ""prob_0"", ""prob_1"", ""prob_cal_0"", ""prob_cal_1"", ""temperature"", ""system"", ""source"", ""target"", ""seed""]",,prediction_evidence,retained for reproducibility and downstream paired analyses,False
