tag,system,source,source_corpora,target,seed,held_out,n_sources,model_name,n_eval_total,n_removed_train_seen,n_removed_all_source,n_eval_clean,test_macro_f1,test_accuracy,test_weighted_f1,test_precision_macro,test_recall_macro,test_recall_class_0,test_recall_class_1,temperature,ece,ece_temperature_scaled,brier,brier_temperature_scaled,confusion_matrix,prediction_path,config_hash,protocol,held_out_corpus,val_macro_f1,val_accuracy,train_seconds
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",ben_sarc_binary,42,True,2,csebuetnlp/banglabert,2563,0,0,2563,0.508224047440529,0.5606710885680842,0.508161386698441,0.6061247656339681,0.5607985911942333,0.8875878220140515,0.2340093603744149,1.1787198425212733,0.3576893295026653,0.33728492052663,0.7743492676426369,0.7471725568246278,"[[1137, 144], [982, 300]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed42_to_ben_sarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.8166932318473217,0.817384370015949,90.18202471733092
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc_binary,42,False,2,csebuetnlp/banglabert,464,0,0,464,0.9137715179968702,0.918103448275862,0.919269737197129,0.9056891943489882,0.929570631519366,0.889261744966443,0.9698795180722892,1.1787198425212733,0.0394215339890995,0.0501189701720099,0.1170122011536371,0.1152554990854114,"[[265, 33], [5, 161]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed42_to_banglasarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.8166932318473217,0.817384370015949,90.18202471733092
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc3_binary,42,False,2,csebuetnlp/banglabert,791,0,0,791,0.749616314315313,0.7496839443742098,0.74961111200309,0.7499967997542212,0.7497059199590845,0.7323232323232324,0.7670886075949367,1.1787198425212733,0.0815702586570697,0.0620703957118982,0.3517125715692131,0.3443389779816511,"[[290, 106], [92, 303]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed42_to_banglasarc3_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.8166932318473217,0.817384370015949,90.18202471733092
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",ben_sarc_binary,1,True,2,csebuetnlp/banglabert,2563,0,0,2563,0.5213688296419334,0.5673039406944986,0.5213109768572325,0.6095219443488307,0.5674248984010882,0.87743950039032,0.2574102964118565,0.9285018868059448,0.2857070569801591,0.2961074901665717,0.6855083592721422,0.6987053767859088,"[[1124, 157], [952, 330]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed1_to_ben_sarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.7996451366055888,0.803030303030303,60.194029569625854
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc_binary,1,False,2,csebuetnlp/banglabert,464,0,0,464,0.9248848401006636,0.9288793103448276,0.9298125977850528,0.9167577623075004,0.9392940891081104,0.9026845637583892,0.9759036144578314,0.9285018868059448,0.0739043111289388,0.071099731205239,0.1078021154052084,0.1054736144947913,"[[269, 29], [4, 162]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed1_to_banglasarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.7996451366055888,0.803030303030303,60.194029569625854
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc3_binary,1,False,2,csebuetnlp/banglabert,791,0,0,791,0.7362623270367663,0.7370417193426043,0.7362804524392277,0.7397421966962888,0.7369741721007543,0.7904040404040404,0.6835443037974683,0.9285018868059448,0.0473879704088397,0.0497104828304797,0.3690873109832267,0.371248829499443,"[[313, 83], [125, 270]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed1_to_banglasarc3_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.7996451366055888,0.803030303030303,60.194029569625854
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",ben_sarc_binary,7,True,2,csebuetnlp/banglabert,2563,0,0,2563,0.4802256537247304,0.555598907530238,0.4801484270302575,0.6329349925220346,0.5557475694812336,0.936768149882904,0.1747269890795632,1.7544913352633742,0.3925254735270028,0.3175777490201575,0.8214225549407528,0.7165264374782542,"[[1200, 81], [1058, 224]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed7_to_ben_sarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.803069996471495,0.8094098883572568,107.22565150260924
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc_binary,7,False,2,csebuetnlp/banglabert,464,0,0,464,0.9420483895946884,0.9461206896551724,0.9464186628303296,0.9375877409787444,0.9473801245249454,0.9429530201342282,0.9518072289156626,1.7544913352633742,0.034168620620193,0.0951480650135276,0.0887292190318706,0.0916108719394746,"[[281, 17], [8, 158]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed7_to_banglasarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.803069996471495,0.8094098883572568,107.22565150260924
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",banglasarc3_binary,7,False,2,csebuetnlp/banglabert,791,0,0,791,0.7295647247294182,0.7345132743362832,0.7296109728565853,0.7526640841478377,0.7343434343434343,0.8686868686868687,0.6,1.7544913352633742,0.1575994705049295,0.074760925037111,0.4169090570943966,0.3725039881625804,"[[344, 52], [158, 237]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed7_to_banglasarc3_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.803069996471495,0.8094098883572568,107.22565150260924
B,vanilla,banglasarc_binary+banglasarc3_binary,"[""banglasarc_binary"", ""banglasarc3_binary""]",ben_sarc_binary,123,True,2,csebuetnlp/banglabert,2563,0,0,2563,0.4875658423273922,0.5493562231759657,0.4874964149331803,0.5957048084667449,0.5494917923180628,0.8969555035128806,0.2020280811232449,2.247790518315027,0.4209202142578181,0.3236127049028944,0.857243932557764,0.7155131500911662,"[[1149, 132], [1023, 259]]",04_outputs/predictions/19_loco_pooled/19_B_vanilla_banglasarc_binary+banglasarc3_binary_seed123_to_ben_sarc_binary.csv,6970de89ef36b0ad,loco,ben_sarc_binary,0.8233110788134268,0.8253588516746412,137.06866598129272
