path,decision,reason,duplicate_content,parse_error
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed123_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed1_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed2024_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed42_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed42_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed42_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed7_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed7_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc3_binary_seed7_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed123_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed123_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed123_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed1_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed1_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed1_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed2024_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed2024_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed2024_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed42_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed42_to_banglasarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed42_to_ben_sarc_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
predictions/18_multiseed_cross_corpus/18_fgm_banglasarc_binary_seed7_to_banglasarc3_binary.csv,prediction_evidence,retained for reproducibility and downstream paired analyses,False,
